Feu tricolore;Departementale;M12;Sas velo
48.89120305127971, 2.15036205236545;Oui;Non;Oui
48.89112148925864, 2.1499989232694388;Oui;Non;Oui
48.89054974472018, 2.152911271147946;Oui;Non;Non
48.890660966896846, 2.15304885422159;Oui;Non;Non
48.89014646004111, 2.1549021987359662;Oui;Non;Non
48.890193915249505, 2.155294648814885;Oui;Non;Non
48.8898053744016, 2.1562464530297065;Oui;Non;Oui
48.88997591751233, 2.1564945536546825;Non;Non;Oui
48.889849863966354, 2.156113380876882;Oui;Non;Oui
48.88885070731502, 2.159200746054005;Oui;Non;Non
48.88893375604916, 2.15960221797458;Oui;Non;Non
48.889148792317265, 2.159442080298699;Non;Non;Oui
48.88876024335156, 2.1596180061961943;Non;Non;Non
48.88880918289127, 2.159602217974628;Non;Non;Non
48.888818080984244, 2.1589706891120004;Non;Non;Non
48.88852444307974, 2.1593090081455513;Non;Non;Non
48.88843249550258, 2.158871448862159;Non;Non;Non
48.88813292318233, 2.159839041298353;Non;Non;Non
48.8882827095623, 2.160026244496918;Non;Oui;Non
48.88530753886065, 2.1579881660719273;Non;Oui;Oui
48.88504057663784, 2.157850582998146;Non;Oui;Non
48.88531940381234, 2.157629547896108;Non;Oui;Non
48.88786316577996, 2.153388448535628;Non;Non;Non
48.88776528480084, 2.153505732467259;Non;Oui;Non
48.89175714816883, 2.150469526636726;Non;Non;Oui
48.89624299795146, 2.152747261863965;Non;Oui;Non
48.8964580912223, 2.1526182356756562;Oui;Oui;Oui
48.89865413330158, 2.153943624203534;Non;Oui,Non
48.89867409756152, 2.154117554859286;Non;Non;Oui
48.898812518910745, 2.153976004905548;Non;Oui;Non
48.9016425150326, 2.1556022008583318;Non;Non;Oui
48.901644329857135, 2.155751284277548;Non;Non;Non
48.90183670088453, 2.1553840973376266;Non;Non;Non
48.90560849796711, 2.161540943160094;Non;Non;Non
48.901018315571676, 2.163376502067982;Non;Oui;Oui
48.90105094594209, 2.1631572658612046;Non;Oui;Oui
48.90089595149292, 2.163190358118831;Non;Oui;Non
48.900905170051495, 2.163419050601188;Non;Oui;Oui
48.900632941608265, 2.163816606385764;Non;Oui;Oui
48.90070372113914, 2.1639049521156037;Non;Oui;Non
48.90053493899876, 2.163858018446591;Non;Non;Non
48.8960950319362, 2.1570643498968627;Oui;Oui;Non
48.89602160628981, 2.1572629034426116;Non;Non;Non
48.894399646734264, 2.157168898709188;Oui;Non;Non
48.89427440553603, 2.156914904735708;Oui;Oui;Non
48.894082005402815, 2.1574284142907865;Non;Non;Non
48.89400442762099, 2.157356929936953;Oui;Oui;Non
48.89240577582826, 2.157856405003342;Oui;Oui;Non
48.892581301903206, 2.1580490292055297;Non;Non;Non
48.89207471864032, 2.1580186148578693;Oui;Oui;Non
48.89165682507424, 2.157435820128602;Non;Non;Non
48.89086076471455, 2.15699654738557;Non;Non;Non
48.89084148629867, 2.1568724970732682;Non;Oui;Non
48.89076733847612, 2.1571724732830164;Non;Non;Non
48.89667196598876, 2.1446712591613384;Non;Oui;Non
48.89664200737491, 2.1448737926359636;Non;Oui;Non
48.89684505985056, 2.144676322498204;Non;Oui;Non
48.896651993581514, 2.1448839193096947;Non;Oui;Non
48.90319870534788, 2.139416252635137;Oui;Oui;Non
48.9031488988407, 2.13961325601418;Non;Oui;Non
48.9033614062588, 2.1394061498977504;Non;Non;Non
48.904244846981506, 2.142503156637783;Oui;Oui;Non
48.90421496370872, 2.142664800435972;Non;Non;Non
48.904444870172895, 2.1425539127238054;Non;Oui;Non
48.90183058728099, 2.1555424079747643;Non;Non;Non
48.90181159818849, 2.155410351823964;Non;Non;Non
48.90164069603132, 2.1557487457103894;Non;Non;Non
48.901567452070786, 2.1555630417483265;Non;Non;Oui
48.89651984318313, 2.1527982238325625;Non;Oui;Non